"response","treat"
"an overwhelming amount of immigrants in our country and the new laws or bills tryin to cut down on the amount of immigrants.","think"
"violence, drugs, jobs lost","worried"
"poor people
taking jobs","think"
"undocumented immigration and how it affects our economy.","worried"
"robbing americans of their social security; rising costs of social programs to cover illegals; rising costs of incarceration due to illegals; not being able to understand what they are saying (spanish and other languages); the fact that illegal immigrants are here with their children who go through our school systems then cannot get financial aid for college because their parents never filed for naturalization leaving the kids to work dead end jobs and never get naturalized; the fact that they are doing the work that americans don't want to do anyway, and then the americans complain about it; border walls; increasing amounts of drugs in america because it is so easy to get into our country","think"
"too many people, not enough social service support, crowded prisons, gangs taking over the cities, unemployment, abuse of immigrants, terrorism","worried"
"i think of all the jobs americans will lose and the welfare will increase","worried"
"i worry about the strife that is being stirred up among the american people. how can building a giant fence between the usa and mexico possibly help the usa in any way. it is a tremendous waste of resources that could be used for developing alternative energy sources, providing health care or decreasing the increase in the national debt.","worried"
"people coming to the us looking for work
people looking to do the jobs that us citizens will not do","think"
"we are letting too many immigrants into the country.
too many immigrants insist on speaking their native language and do not learn english. that is a real problem in our schools and business.
i do not believe immigrants should get social security....unless they work and pay into it.  
immigrants should not be able to get all the freebies that they are getting.","worried"
"illegal immigrants, people complaining about them getting govt. benefits, talk about building a wall on the mexico border. poor people who do the jobs that most of us wouldn't take anyway. if i lived somewhere else, facing poverty, i would want to come here to build a better life too.","think"
"crime
lost jobs
benefits paid to illegals
health care and food....we cannot feed the world when we have americans starving, etc","worried"
"illeagal","think"
"that the illegals are recieving all of our benefits","worried"
"i am fine with immigration.","think"
"the jobs, welfare, and community resources we as tax payers pay with our hard earned sweat to give it to someone who comes here just to send money back home. i don't think so!","worried"
"mexican people. illegal border crossing. us finincal assistance to imigerants.","think"
"drain on us social services and medical service.
increased crime rates","worried"
"illegal
mexicans","think"
"too many illegal immigrates coming into our country will take our work for less pay and the language barrier.","worried"
"i'm worried that people are coming to amercia against the law. they are not doing it the right way. they steal social security numbers of people who are citizens so they can work etc","worried"
"why their country is so poor","think"
"we need to protect our borders more. not enough agents covering too much distance.","think"
"illegal immigrants using services paid for by legimate taxpayers.","worried"
"not much worries me about immigration. i think people are making way too big of a deal about it.","worried"
"the people against immigration","think"
"that we let people break the law b/c we just don't want to take the time to inforce it.","worried"
"criminals stealing our jobs, our money, our belongings. people who don't speak english in our public schools. babies being born into this country and becoming citizens on a daily basis. free health care. pigs and slobs on the jobsite. you asked the wrong person, i work in construction and could go on for days about these thieves.","think"
"illegal immigrants.","think"
"1. not being able to document them so we have a record for crime, taxes and terrorism
2.  that they are recieving money that i pay taxes to provide and they dont pay any of it
3.  they recieve many services from the states they are in that again they dont  pay towards and many people that are legally here are not getting because their isn't enough to go around.
4 that our country is bending and stretching toaccomidate their cultures","worried"
"we need to seal the borders. both north and south. fine all the employers that hire illegals and also those who rent to them.  if they can't find an job nor a place to live they will go home.","think"
"illegal people in our country
illegal people taking our jobs","think"
"free welfare without paying into the tax base, spread of third-world disease, 1/3 of all criminals in our prison syst. are illegal aliens, refusal to assimilate and learn the language, virtual abolition of our borders, and therefore, our sovereignty","worried"
"job losses, threat of terrorism, property value decreasing, drug trafficing, becoming citizens and going on welfare","worried"
"social security
crime
welfare
healthcare
educating immigrants","worried"
"welfare, schools, medical expenses, jobs, crime, housing, driving no insurance or license,","worried"
"allour ancestors immigrated here.
immigration should be done legally.
we shouldn't subsidize illegal immigrants with government money.","think"
"loss of jobs","worried"
"legal vs. illegal","think"
"what worries me is that even when people try to immigrate into us legally, they are out through very disrespectful process that often violates fundamental human rights.  i think if the legal process was easier, or there would be options for legal work inthe us for foreigners, less people would try to come here illegally.","worried"
"they do not pay taxes","worried"
"-jobs going to lower paid people
-english no longer being spoken in some places
-us becoming over populated
-more people for us to support on welfare","think"
"need better border build a wall like china did","think"
"loss of jobs, hospitals losing money, illegal hiring, cheap labor,","think"
"illegal persons,not speaking english,drinking alcohol,illegal driving","worried"
"where i live immigration has over populated our city and it is no joke.  we have to many here taking over and getting aid.","worried"
"what really makes me worried is that we are doing nothing to fix the system i agreed that we need to pay attention to our borders but at the same time there is people hard working people that are here illegaly and they are ancious to obtain some king of work permit so they can work legally, they did cross the border ok make them pay a fine of course criminals they must be deported","worried"
"draining our health care system, 
criminals","worried"
"the borders should now be sealing, allowing no more immigrates.","think"
"take over, over crowding of our nation.  more people not enough welfare or jobs.  health insurance is at an altime low and we can take of our own people who is here so why allow other to come here and take away the aid that could go to the people who is already here.","think"
"very mess up problem","think"
"that the ileagles who sneack over the border should be fined to the fullest extent.
i worked most of my life for what little i get. i on't think it's right for them to receive everything free.","think"
"they take the jobs away from us because they take lower pay. they speak a different language and do not try to learn ours. they do not pay taxes. we have to punch in buttons on the phone etc. to speak to someone in our language.","worried"
"large numbers of poor people coming to the us and making our communities dirty, unkempt and poor","worried"
"i often worry that united states will become over crowded and immigration will place a economical strain on the counyry.","worried"
"building a wall on our border.
spanish becoming a dominant language in the u.s.
political bungling in dealing with immigration.","worried"
"kneejerk american jingoism
lou dobbs and his ilk
mistreatment of immigrants","worried"
"i think if they come in to the country
ileaglely they should be depored . do it the right way or stay the hell home
and if you do get here the correct way learn the damn langwige(sp) and learn our trafic laws.","think"
"people comming over here from another country.","think"
"i think that it is a major issue for us today.  there are too many immigration problems withno taxing from them, taking jobs from the u.s. citizens.  things have to change so that it makes it harder for them to come in illeagally.  they do deserve a chance, but it has to be done the right way.","worried"
"i think of people from other countries coming to america to live.  these days you can't help thinking about the mexicans coming across the border, as well as those that are already here.","think"
"lack of jobs for americans
terrorist activity","worried"
"taking our jobs, not paying taxes, using public services for free","worried"
"over population
too many new citizens on welfare
extra strain on our schools","worried"
"complex, heated, political minefield","think"
"jobs,my tax dollars going to fund this.","worried"
"security
jobs
healthcare
following the laws of our country","worried"
"an attitude amongst many americans fueled by some members of the media who use the term ""immigrant"" almost as a term of abuse and seem totally unable to differentiate between legal & illegal immigration.  i also see an incredible degree of racism - the assumption often being that anyone hispanic must be an illegal immigrant.","think"
"mexico, muslems, problembs, terrorist,
cheep labor,","think"
"people from all over the world coming here for a new life--opportunity, freedom, justice. a way of life/history for the u.s.; our country has always been a giant melting pot and still is.","think"
"the cost of living, cost of food, diseases, and jobs that are taken from americans.","worried"
"they get all our stuff for free, and it isnt right","worried"
"costs to feed, house, educate, and provide medical care

potential for enemies of the us to enter","worried"
"i think of new beginnings becoming a citizen adapting to a new country learning to be a citizen of that country....entering legally so you can do this","think"
"illegal immigrants; increased crime; schools & hospitals overwhelmed taking care of illegal immigrants","think"
"law breakers.","think"
"we need to find a reasonable and humane compromise on the issue","think"
"close borders.
fine employers who employ illegal immigrats (im).
remove children of im from public schools.
no ssa or welfare for ims.
when picked up by police or any other government institution, they should be taken into custody and deported.
if an im is deported and returns to the us, they should be jailed and the family or mexican government made to paid for the cost of upkeep.","think"
"job availability, visas, welfare system","think"
"racism, bigotry, intolerance","think"
"i didn't have to worrty about immingration when all our relation came over to these lands without an invitation  !","worried"
"first i think that it isn't fair for someone who is not a citizen to receive benefits of any kind without paying into the system.  then i think of 12 million people (especially the children) who could not be taken out of our economy without undue suffering on everyone's part.  then i hear about illegal aliens still able to get driver's licenses, start businesses, buy homes, etc. when so many people are waiting all over the world to come here legally.  it is a difficult problem.","think"
"its one of those things that you can't fix.","think"
"over population
crime
job shortage
welfare increase","worried"
"illegal aliens","think"
"we need to crack down on illegal immigration in this country","think"
"i actually worry about the conditions in those countries the people are leaving.","worried"
"when i think of immigration i think of people who enter this country legally, who go through the proper immigration process, no matter how long it takes.  i think of people who are willing to learn the english language, make an honest living, honor our country and pledge allegiance to our flag.  those who come to america by any other means, who sneak in here and file false paperwork, who think they have the right to drive and have a license, who manage to obtain false ssn's don't deserve to be here, and our borders need to be much, much more secure.","think"
"immigrants who have married an american but their spouses die are still sometimes kicked out of the country once they are widowed. i am also concerned about how difficult it is to get a green card.","worried"
"fences across the southern us border, welfare payments, illegal citizens","think"
"legal immigration does not concern me,  illegal immigration does- it could bring in disease, put a burden on schools and healthcare, it could lead to security concerns","worried"
"overcrowding","think"
"the rising sentiment against immigrants. people seem to forget that not all immigrants are illegal, and that our nation was born of immigrants.","worried"
"i think of illeagal immigrants
i think of immigrants that could be terroist","think"
"opportunity for the immagrants
higher burden on the taxed citizens
founding fathers
we're paying for their health costs
illegal immagration is illegal.","think"
"i think about illegal immigrants.
giving them services paid for by tax dollars paid for by residents and legal immigrants.","worried"
"illegal immigration; hispanics; entitlements; not paying taxes, social security; requiring all manners of info tobe inspanish as well as english; borders to the south, texas, ca, etc; gangs; crime; drugs; but positive thoughts about legal alilens here with work visas...hard workers, good people trying to make a better life for their families,","think"
"illegal immigration
increasing cost to me for healthcare for illegals who come here and have babies.","worried"
"nothing","think"
"the number of illegal immigrants, the strain on our resources (including schools, hospitals, etc.)","worried"
"i worry that newer immigrants are not assimilated as easily into this country as in the past","worried"
"legals (desirable) vs. illegals (criminals)

very complicated

many do what is good for themselves, rather than what is fair and just.","think"
"border control, certain illegal immigrants tolerated, and others immediately deported.","think"
"illegals","think"
"i am most worried about the conception that forms in the relation of the modern nation state to that of the foreigner.  a relation of same and other is established that marginalizes the other in such a way as to turn hospitality into slavery.  the largest worries of immigration manifest themselves as concerns over economic effects primarily because the nation state has communally devolved into a neoliberal capitalist organization.  it is the corporisation of the state that governs the question of immigration, the question that is then framed in terms of resources and production.  my worry is that capitalist democracy will continue to perpetuate itself and replace community with individualism, consumerism, and the great american freedom-the freedom to buy","worried"
"just have everyone come in legal","think"
"all the illegals coming in to the country.","worried"
"job avalability","worried"
"i'm concerned the immigrants might not understand that democracy, which provides many freedoms, requires we act responsibly toward others to allow them their freedoms.","worried"
"i think any illegal alien should be deported with no questions. if they come here and break our laws they deserve no consideration and should be treated as criminals and actively persued.

illegals should get no benefits at all in anyway. no welfare of any kind and again deported.

legal immigrants should be required to learn english before becoming a citizen. a certain amount should be required in a set period of time. 

 a criminal record should be reason for a visa to be denied.","worried"
"border security is my major concerns. however, immigration needs to be better informed with screening of potential terrorists.","worried"
"people from other countries coming to america for a chance at a better way of life.  people illegally entering this country.","think"
"war","worried"
"too many non speaking english americans
too many people that do not stand with what we were founded on.

too much trouble wanting their ways and not becoming americanized","worried"
"the unemployment and health care issues of americans","worried"
"legal immigration is ok and needed in u.s.
illegal immigration is very wrong for u.s.
 - causes job loss for citizens
 - drain on ""medical system""
 - crime rises in communities where
   illegals stay","think"
"wall construction
amnesty","think"
"jobs that no one else will do for a low wage, people that are taken advantage of, and hated for wanting a better life.","think"
"non us citizens coming over to the us and taking our jobs.","think"
"the history of this country. this country has a strong history with immigration being a crutial part.","think"
"no one speaks english anymore.  we are giving immigrants free health care.  immigrants do not contribute anything to the economy.  the immigrants immediately send their earnings back home to their country.  i can go on and on and on .............","worried"
"illegals getting all the benefits that us americans can't.  they get free medical, which causes met to have to pay $125 and up to visit a doctor due to no insurance which i can't afford.  grandmother who gets less than $600 a month, can't even get food stamps and i see people who can't speak english with hundreds of dollars of groceries all the time.  can't speak english means didn't work here and put into the system like the rest of us.","worried"
"college students, grad students, foreign motel owners,stolen technology, passports, migrant workers, landscape workers, legal and illegal immigration","think"
"i think its a good thing bc the ones that live n the usa and is legal means we can now have more houses and job and dont have to worry bout them and problems they cause","think"
"people from other countries coming to the usa to work","think"
"overpopulation","worried"
"i am not worried about immigration.","worried"
"i am concerned with citizen benefits being given to illegal aliens who probably are not paying into the system.  this will bankrupt this nation sooner or later.","worried"
"don't think illegal immagrates who have lived here for years should receive special treatment.  they should still go through the process and become citizens just like anyone else coming to this country.  they've had a free ride and we've paid for it.","worried"
"i do not like the ifea of illegal immigration, but i also think it is too difficult to legally get residency in this country, especially if you are seeking asylum from religious persecution.","think"
"the construction of the fence along the border. the deaths of people smuggled into the us in unventilated trucks.  people starving or freezing to death in the desert","think"
"schools, hospitals, total infrastructure of our communities","worried"
"illegal immigrants coming from mexico, border patrol around texas, california, etc,","think"
"border security is lacking. 
mexicans have no regard for our system of law.
washington has let illegal immigration go on, too long","worried"
"that people who are violent might come over.","worried"
"illegal, getting services they don't deserve, not learning to speaknglish e","worried"
"illegal immigration,cost of social services for illegals,cost of illegals without car insurance, lost jobs, crime,","think"
"the current debate centers on illegal immigrants from mexico.  i think our immigration policy should be as stringent as the mexican policy, which makes it extremely difficult for americans to work or live in mexico.","think"
"taxes, public services, opportunity.","think"
"not well versed.","worried"
"bad for  every thing,,","worried"
"we have laws on the books why dont we use them. illigals should be deported no exception.","think"
"people form many countries coming to the united states for a better life. learning to speak english;being self supporting and becoming a citizen of the usa. flying one flag,keeping their history a part of their lives,but not forcing their way on everyone else..there's apart of my town i was raised in, but now cannot go shopping on that side because no-one speaks 
english..  when did i leave the usa?
","think"
"illegal immigrants getting health, social security and ssi benefits when they have paid nothing into the system.  we need to make english the language of usa.","worried"
"that they are getting money that really could be used to help our poor here in the usa","worried"
"people entering without paperwork","worried"
"i think it is a double edged sword.","think"
"no control.  us has lost all control.  not only illegel but drugs etc., etc. enter each day.","worried"
"i think of, first off, where i grew up. southern california is full of immigrants from much of south & central america.","think"
"illaglal","think"
"could continue to be a major disagreement amongst americans.","worried"
"close the borders","think"
"english as primary language
equality for all
traditions and customs
fear of the unknown","worried"
"bigger taxes
larger deficits
unfair amnesty
no social security $","worried"
"crime, possible terrorists, taking jobs from citizens, not learning our language","worried"
"i think with our (us) needing more  help here ,and less over seas  ,i think there should be a complet stop of letting people in the us so anyone of them cant kill anyone of us anymore.and all of our men and woman shoud be brought back to the us , instead of fighting a war we dont belong in ...","think"
"illegal immagrants, refugees from other contries seeking assilum, border patrol","think"
"strain on health care and education systems","think"
"jobs- healthcare- schools - gangs","worried"
"mexicans working here and not paying taxes,fences won't work we need to go to a flat tax with a discount rate for seniors.","think"
"expense.  why we are not enforcing the laws we already have on the books. possibility of terrorists getting in more easily. why are we accomodating the aliens by printing things in other languages and having to push buttons to hear things in our own language.  why do we give free medical services to them when we can even take care of our own first. insurances going up to cover immigrants.  it seems that they are better accomodated than our own citizens. they are given rights, which they have not earned. i'm retired and i'm tired of costs going up because they are able to use and abuse our system to our debtrement.","think"
"illegal immigrants and terrism","worried"
"i want illegals gone.  they cost my husband his business.  they come here undercut the americans, and then raise their prices after they've driven hard working americans out of their jobs.","worried"
"poor people wanting a better life because their own country is so full of 
corruption. they have found it too easy to slip accross the border and our government must have some reasons for wanting them here to keep our wages lower. it has kept pur young from summer jobs. they are a major drain on 
our health care system as well as all the welfare that many get. i don't what the answer is to fixing the problem with the ones already here but amnesty as it was done the last time is not the answer either. i personally helped 3 women get their papers the last time and as far as i know only 1 became a citizen. i beleive they should all speak english and we shouldn't have to pay extra so they can learn. it should not be our job t learn spanish.","think"
"the government seems to think we need to give everybody a free ride even though they are here illegaly.  if all of the free medical care they recieve and all the other benefits they recieve was denieded them the legal americans like me could afford proper medical care, prescriptions amoung other things.","think"
"people coming from another country","think"
"mexico, fences, death","think"
"i'm a painting contractor and worry about lower painting wages which translates to cheaper costs overall.  i cannot do jobs as cheaply, while providing my own health care and day to day living expenses.","worried"
"illegal aliens, national security, the border with mexico","think"
"violence, social security, welfare","worried"
"it is too easy an overly inviting to be an imigrant","think"
"illegal immigrants coming into our country.
illegal immigrants being a artificially low wage earner which takes away jobs that could go to americans.
illegal immigrants working here but not paying their fair share of taxes since it is in large part an underground ""cash based"" society","worried"
"the over-hyped concern over a relatively minor problem concerns me.","worried"
"people should be allowed to come over here, but there should be some guidelines.","think"
"social security, jobs, health care.","think"
"crime rate, illegal immigration,","worried"
"we need to get the upper hand on immigration, and treat everyone equally.
we don't need to just start handing out licenses. 
and let's keep america's #1 language english!!!","think"
"i donot like ethinic groups not learning our language. if they live here they should speak english. i believe they should get here legally.","think"
"mexico
nazi
illegal","think"
"mexico
difficult","think"
"illegal immigrants
job loss
more crimes
school cost for immigrants","think"
"terrorists entering the u.s.  we have too many taxes as it is without supporting more people.  i don't like the fact the some immigrants don't have to pay taxes for the first 5 years they are here.  our schools are too crowded as it is.","worried"
"illegals taking our jobs
free health care
free loaders
other countries ""dumping"" their unwanteds in our country","worried"
"s.s. or the lack of it 
all the money the gov. spends on them","think"
"that there are different rules for people depending on the country they are coming from. westerns europeans and others from wealthy nations can easily enter the us but people from developing countries have a difficult time obtaining visas because too many  people have abused the system (sneaking into the country; using a tourist visa to enter and staying illegally).","worried"
"the confusion over ""illegal"" vs legal immigrants. illegal immigration: will dregrade our nation heritage, ulimately weaking our strengths. increased costs to the public, for all services. crime increases, cultural division.","worried"
"i think legal immigrants are great. i think the us should help other countries become better economically and safer places to live. we should work out a sensible,humanitarian and fair solution for the people & children that are here illegally. it isn't wise or safe to allow illegal immigration to continue as is.","think"
"wide open borders that allow terrorists to enter at will
increased costs of health care due to illegal immigrants taxing the hospital system
talk of amnesty causing a greater influx of illegal immigrants
on the other hand, tough immigration practices causing families to be torn apart when illegals are sent home
prices rising dramatically due to the loss of inexpensive labor","worried"
"more cost to me and america
safety","worried"
"drain on the economy,displacement of american workers","think"
"people coming to this country without following the rules to do that","think"
"taxes going up
jobs being taken away from our workers
i am tried of the new breed not learning our english!  when in  rome do as the romans do.","worried"
"we need to stop illegal immigration","think"
"it is out of control and nothing is really being done about it and im not sure anything can.","think"
"i think that people who are already in america and who work, pay taxes should be granted asylum.","think"
"illegal","think"
"struggles","think"
"ilegal immigrants drwaing medical and social security benrfits.","worried"
"there is a difference between legal and illegal immigration .
stop the illegal.","think"
"i think immigration is fine as long as they do it legally.","think"
"i think they need to stop immigration in the us.","think"
"i
dont
know","think"
"work taken away","worried"
"close the borders. come here legally. learn the language it's english!!","think"
"1. boarders need to be secured. 2. illegals need to be deported. 3.legals need to be treated fairly","think"
"job loss to those who would work for les pay.","worried"
"that the fence is a ridiculous idea","think"
"coming in illegally and staying
increasing costs to those that do pay taxes","worried"
"over population, jobs, lowered wages. prejudice, violence, terrorist.","worried"
"i believe we need to protect our borders.  we need to be sure people entering our country are doing so legally.","think"
"the us-mex border
statue of liberty
irish immigration
chinese railroad","think"
"people that do not speak english in the united states, that take jobs away from americans because they will work for pennies then send it back to their home land and not put it back into our economy that is taking care of them. etc.","think"
"illegal workers","think"
"#1 is it legal , #2 if not legal are they criminals ,terrorists , are they taking my job away , will they bother to learn english , do they really want to become american citizens or just collect bennefit from the government and the tax payer .","worried"
"problems","think"
"inflation
illegals","worried"
"violence that may occur from people that are already here against immigrants and violence from immigrants because of frustration of unfulfilled dreams.","worried"
"legality of immigrants; border security","think"
"over crowding, jobs taken away from natural citizens","worried"
"dont care","think"
"bad economy, crime rates, unemployment, money under the table...","think"
"illegals coming over the mexico boarder in droves to infest the country like cockroaches","worried"
"who much of a waste of time it is","think"
"loss of jobs for americans
increase in crime
challenge on services such as healthcare","worried"
"migrant workers, mexicans, green cards, passports, border security, people willing to do jobs most americans don't want, multi-lingual culture, ignorance, fear, hypocrisy of americans","think"
"abuse of healthcare and welfare programs.
potential workers for less desirable jobs.","think"
"dearth of creative ways to deal with problem; fact that large employers are getting a free ride with underpaid aliens; stupidity of govt. in erecting a fence; truckers from mexico using our roads and not paying taxes for the upkeep.","worried"
"the impact of illegal imigration on our schools and health care system","worried"
"since my grandparents were immigrants from europe, i think of people who want to build a better life for themselves and their families by coming to the u.s. - legally.","think"
"i really dont know about immigration or what it means","worried"
"way to many
they get benefits that i don't 
they should go home and come back the right way","worried"
"social security
health coverage
job security
poverty level","worried"
"americans are not receptive to speakers of other than english and people who live south of the rio grande. immigrants are treated poorly by average citizens.","worried"
"the fact that congress doesn't have the balls to enforce the laws already on the books. i don't understand why they are debating new laws when there are enought get a hold on the issue. congress is mainly run by special interest groups and lobbyists and i don't foresee them ever doing anything substantial until the lobbyists are kicked out of washington.","worried"
"illegal immigrants, what this means for u.s., tax dollars not being paid","worried"
"it's not so much a worry as it is annoying.  if you want to come in the usa, fine, but do it legally. i resent the fact that i pay taxes, they don't and they take jobs from the legal immigrants.","worried"
"mexicans.","think"
"legal entry into a country
that challenge of illegal entrants and how to eliminate them
bring me your tired, your poor....","think"
"individuals coming to america at the taxpayers expense.","worried"
"i think that immigration is fine.  i mean we all are immigrants if you think about it.  the only one's who aren't are the native americans.  we all came over to the americas.","think"
"losing good paying jobs to illegal immigrants.
illegal immigrants not paying taxes.
the government not doing enough to take care of illegal immigrants.","worried"
"illegals, slave trade, child workers, racism","think"
"i think we need new immigration laws that restrict the amount of immigrants into this country. i also think that immigrants need to learn our language, we should not have to cater to theirs.","think"
"that dreadful lou dobbs!","think"
"people coming through ellis island.","think"
"job security, wreckless driving, auto accidents.","worried"
"confused.  i think that everyone should be a citizen so that we receive money from their for their portion of taxes.  i also think that our country needs the immigrants more than we think as they will do almost any job, which many american's don't want to do.","think"
"citizens of other nations entering the united states.","think"
"the boarder","think"
"i am enthusiastic about legal immigrants willing to assimilate and be productive members of american society.

i worry that illegal immigrants have no incentive, and often no desire to assimilate.

i worry that illegal immigrants are disproportionally involved in violent crimes, as well as drug and property crimes.

i worry that our culture and language may be diminished by those not willing to assimilate.

i worry that that our our society devotes more and more of it's resources providing health care, education and other services to those not willing to assimilate.

i worry that our careless attitude about enforcing our border and immigration policy will lead to another 9/11 style terrorist attack.","worried"
"i wonder about the thoughts in the heads of the immigrants, if they just want to be free of their former lives, or if they want to take ours.","worried"
"language barriers, low income, opportunity, jobs","think"
"lost jobs, unpaid taxes, undercut wages, benefits to illegals, gang violence","worried"
"illegals","think"
"illegal

language","worried"
"is thier  legal i could deal with it","think"
"legal = good, illegal = out of control, border agents wrongly jailed, fences, desperation,","think"
"people getting more benefits and paying no taxes,when people who lived here all there lives get no breaks, immigrants come to this country working for less money","worried"
"send them back","think"
"people becoming violent toward immigrants","worried"
"illegal immigrants
mexico","think"
"if there were not jobs available then they would not come","think"
"our immigration system doesn't work. beauacrats are sitting on their duffs and letting undocummented aliens, often subversive ones, flood our country. i don't see any efforts to repair the situation.","worried"
"the people who are having problems with immigration are immigratens them selves. we need the immigrents for a work force for aboration has killed the workforce.","worried"
"i think we spend to much money on taking care of people that are no payin g taxes.","think"
"1,difficult for worker immigrants.
2,process takes too long.
3,high fees from government and hiring lawyer.
4,too much paper work
5,immigration laws favor certain countries.","think"
"more than one side: being over-run, drugs, lower-end jobs not being filled, families tramatized, people wanting a better life","worried"
"there's no problem with immigration, it's illegal immigration that's a problem","think"
